iter	Passed	Remaining
0	164	164491
1	192	95843
2	217	72117
3	241	60249
4	265	52903
5	293	48561
6	318	45187
7	338	41923
8	357	39347
9	378	37490
10	399	35922
11	419	34531
12	440	33443
13	460	32447
14	480	31561
15	502	30897
16	524	30307
17	545	29741
18	566	29245
19	588	28833
20	609	28435
21	631	28053
22	652	27698
23	672	27357
24	694	27079
25	714	26778
26	736	26551
27	759	26348
28	781	26161
29	801	25920
30	823	25743
31	843	25521
32	865	25371
33	887	25219
34	907	25011
35	926	24807
36	948	24696
37	969	24532
38	992	24452
39	1013	24323
40	1034	24201
41	1057	24121
42	1078	24009
43	1099	23884
44	1119	23759
45	1139	23635
46	1160	23530
47	1180	23411
48	1200	23295
49	1219	23167
50	1240	23081
51	1260	22979
52	1278	22838
53	1298	22743
54	1317	22633
55	1336	22522
56	1356	22446
57	1375	22338
58	1393	22231
59	1415	22170
60	1434	22074
61	1452	21971
62	1471	21882
63	1491	21814
64	1511	21744
65	1531	21668
66	1551	21598
67	1569	21509
68	1589	21441
69	1610	21395
70	1630	21337
71	1654	21330
72	1675	21277
73	1693	21189
74	1712	21121
75	1731	21051
76	1752	21001
77	1773	20958
78	1791	20889
79	1812	20842
80	1835	20825
81	1858	20802
82	1879	20768
83	1899	20712
84	1923	20703
85	1944	20661
86	1966	20639
87	1987	20595
88	2009	20572
89	2029	20525
90	2051	20491
91	2074	20478
92	2098	20461
93	2122	20454
94	2143	20421
95	2164	20385
96	2190	20393
97	2216	20400
98	2237	20365
99	2259	20332
100	2284	20338
101	2309	20331
102	2331	20302
103	2352	20270
104	2373	20230
105	2393	20190
106	2416	20167
107	2436	20124
108	2456	20079
109	2478	20053
110	2500	20024
111	2521	19993
112	2545	19981
113	2569	19973
114	2590	19937
115	2615	19932
116	2637	19904
117	2658	19871
118	2681	19849
119	2700	19806
120	2726	19804
121	2747	19774
122	2767	19734
123	2790	19710
124	2812	19687
125	2834	19660
126	2855	19627
127	2876	19598
128	2901	19590
129	2921	19553
130	2941	19511
131	2961	19474
132	2981	19438
133	3007	19435
134	3032	19428
135	3051	19388
136	3072	19356
137	3095	19334
138	3116	19304
139	3151	19356
140	3175	19346
141	3197	19320
142	3223	19320
143	3245	19294
144	3269	19276
145	3288	19235
146	3312	19224
147	3335	19201
148	3357	19176
149	3379	19151
150	3401	19123
151	3425	19107
152	3444	19067
153	3466	19043
154	3489	19022
155	3511	19000
156	3532	18966
157	3554	18942
158	3575	18913
159	3598	18889
160	3620	18865
161	3642	18844
162	3662	18804
163	3684	18781
164	3706	18755
165	3727	18728
166	3748	18696
167	3774	18695
168	3796	18667
169	3821	18656
170	3844	18637
171	3865	18609
172	3888	18589
173	3907	18551
174	3931	18534
175	3954	18512
176	3975	18486
177	3998	18466
178	4019	18434
179	4042	18417
180	4065	18396
181	4087	18369
182	4108	18342
183	4129	18314
184	4155	18307
185	4178	18285
186	4200	18263
187	4222	18239
188	4246	18221
189	4271	18209
190	4291	18178
191	4313	18152
192	4334	18123
193	4355	18094
194	4376	18066
195	4397	18038
196	4420	18019
197	4441	17988
198	4465	17975
199	4488	17954
200	4509	17926
201	4531	17900
202	4550	17867
203	4575	17851
204	4597	17830
205	4620	17808
206	4640	17779
207	4664	17761
208	4686	17736
209	4708	17712
210	4731	17691
211	4753	17667
212	4774	17642
213	4797	17620
214	4820	17599
215	4843	17581
216	4861	17542
217	4882	17514
218	4903	17485
219	4924	17460
220	4945	17432
221	4966	17405
222	4989	17383
223	5009	17355
224	5029	17323
225	5050	17295
226	5073	17278
227	5095	17251
228	5119	17236
229	5141	17212
230	5162	17186
231	5184	17161
232	5204	17131
233	5227	17113
234	5252	17098
235	5275	17078
236	5295	17049
237	5316	17021
238	5335	16987
239	5354	16956
240	5379	16940
241	5403	16923
242	5424	16898
243	5447	16879
244	5471	16861
245	5492	16835
246	5513	16807
247	5533	16780
248	5558	16763
249	5580	16742
250	5602	16718
251	5625	16698
252	5646	16671
253	5671	16657
254	5693	16634
255	5713	16603
256	5737	16587
257	5756	16556
258	5778	16532
259	5798	16503
260	5819	16477
261	5841	16455
262	5864	16435
263	5884	16406
264	5903	16373
265	5924	16349
266	5944	16320
267	5969	16304
268	5991	16280
269	6013	16258
270	6035	16234
271	6056	16210
272	6078	16185
273	6098	16159
274	6117	16127
275	6139	16105
276	6162	16084
277	6182	16057
278	6204	16034
279	6224	16004
280	6244	15976
281	6264	15949
282	6285	15925
283	6307	15901
284	6330	15881
285	6349	15852
286	6367	15818
287	6389	15796
288	6410	15771
289	6431	15745
290	6452	15721
291	6473	15696
292	6496	15675
293	6518	15653
294	6540	15629
295	6562	15608
296	6585	15586
297	6604	15558
298	6624	15530
299	6645	15505
300	6665	15479
301	6688	15458
302	6714	15444
303	6738	15428
304	6758	15401
305	6779	15376
306	6800	15350
307	6823	15330
308	6846	15311
309	6871	15293
310	6891	15268
311	6914	15246
312	6935	15222
313	6956	15198
314	6978	15176
315	7000	15153
316	7025	15136
317	7046	15112
318	7066	15085
319	7088	15062
320	7107	15034
321	7131	15015
322	7155	14998
323	7176	14972
324	7198	14950
325	7222	14931
326	7245	14911
327	7267	14889
328	7288	14865
329	7310	14841
330	7331	14818
331	7356	14801
332	7378	14778
333	7397	14751
334	7420	14729
335	7439	14701
336	7462	14681
337	7482	14655
338	7504	14632
339	7528	14613
340	7548	14586
341	7567	14560
342	7589	14537
343	7614	14521
344	7639	14503
345	7663	14485
346	7686	14464
347	7706	14439
348	7731	14421
349	7753	14398
350	7773	14373
351	7795	14350
352	7818	14330
353	7840	14307
354	7860	14281
355	7881	14258
356	7903	14234
357	7922	14207
358	7943	14183
359	7963	14157
360	7986	14136
361	8007	14112
362	8028	14089
363	8050	14067
364	8072	14043
365	8095	14022
366	8116	13998
367	8136	13972
368	8158	13950
369	8181	13931
370	8203	13907
371	8227	13889
372	8250	13868
373	8271	13844
374	8292	13820
375	8312	13795
376	8334	13772
377	8353	13745
378	8373	13720
379	8394	13695
380	8416	13673
381	8436	13649
382	8459	13628
383	8479	13603
384	8499	13576
385	8520	13553
386	8543	13532
387	8563	13507
388	8585	13485
389	8605	13460
390	8630	13442
391	8654	13423
392	8679	13405
393	8702	13384
394	8722	13359
395	8743	13336
396	8765	13313
397	8787	13291
398	8809	13269
399	8835	13252
400	8858	13233
401	8884	13216
402	8909	13198
403	8928	13172
404	8954	13155
405	8976	13133
406	8998	13110
407	9018	13086
408	9039	13061
409	9061	13040
410	9083	13018
411	9106	12997
412	9132	12980
413	9159	12965
414	9183	12945
415	9205	12922
416	9227	12901
417	9261	12895
418	9296	12890
419	9322	12874
420	9349	12858
421	9371	12836
422	9395	12816
423	9419	12796
424	9443	12777
425	9469	12758
426	9491	12736
427	9516	12718
428	9540	12698
429	9563	12677
430	9584	12652
431	9608	12632
432	9631	12612
433	9656	12594
434	9683	12578
435	9706	12555
436	9729	12535
437	9752	12513
438	9777	12495
439	9801	12475
440	9826	12455
441	9850	12436
442	9873	12414
443	9899	12397
444	9918	12370
445	9938	12345
446	9960	12322
447	9982	12300
448	10003	12276
449	10026	12254
450	10049	12232
451	10076	12216
452	10096	12191
453	10120	12170
454	10141	12147
455	10161	12122
456	10182	12098
457	10206	12077
458	10227	12055
459	10252	12034
460	10273	12012
461	10292	11985
462	10316	11965
463	10340	11945
464	10362	11922
465	10384	11899
466	10409	11880
467	10429	11855
468	10450	11832
469	10474	11811
470	10496	11788
471	10517	11765
472	10539	11743
473	10557	11716
474	10578	11692
475	10600	11669
476	10619	11643
477	10640	11619
478	10662	11597
479	10685	11576
480	10705	11551
481	10727	11528
482	10751	11507
483	10769	11482
484	10790	11458
485	10812	11435
486	10835	11413
487	10856	11390
488	10878	11368
489	10898	11343
490	10919	11319
491	10939	11295
492	10957	11269
493	10976	11242
494	10999	11221
495	11020	11198
496	11043	11176
497	11064	11153
498	11085	11130
499	11107	11107
500	11128	11083
501	11150	11062
502	11170	11037
503	11190	11013
504	11213	10991
505	11237	10971
506	11260	10949
507	11281	10926
508	11303	10904
509	11324	10880
510	11347	10858
511	11366	10833
512	11387	10809
513	11410	10788
514	11430	10765
515	11449	10739
516	11471	10717
517	11497	10698
518	11521	10677
519	11543	10655
520	11565	10633
521	11586	10610
522	11609	10588
523	11631	10566
524	11653	10543
525	11676	10522
526	11699	10501
527	11720	10477
528	11739	10452
529	11761	10430
530	11783	10407
531	11805	10385
532	11828	10363
533	11848	10339
534	11870	10317
535	11893	10296
536	11914	10272
537	11935	10249
538	11955	10225
539	11976	10202
540	11997	10178
541	12018	10155
542	12041	10134
543	12063	10112
544	12086	10090
545	12107	10067
546	12131	10046
547	12152	10023
548	12176	10002
549	12195	9977
550	12216	9954
551	12236	9930
552	12256	9907
553	12278	9884
554	12299	9862
555	12318	9836
556	12341	9815
557	12364	9793
558	12384	9770
559	12406	9748
560	12423	9721
561	12446	9700
562	12467	9677
563	12489	9655
564	12511	9632
565	12530	9608
566	12550	9584
567	12571	9561
568	12592	9538
569	12612	9514
570	12633	9491
571	12656	9470
572	12677	9447
573	12696	9423
574	12719	9401
575	12741	9378
576	12758	9353
577	12783	9333
578	12806	9311
579	12831	9291
580	12853	9269
581	12876	9248
582	12898	9226
583	12920	9203
584	12942	9181
585	12965	9159
586	12989	9139
587	13012	9117
588	13034	9095
589	13057	9073
590	13079	9051
591	13101	9029
592	13121	9005
593	13142	8982
594	13165	8961
595	13187	8939
596	13207	8915
597	13229	8893
598	13248	8869
599	13269	8846
600	13292	8824
601	13310	8800
602	13332	8777
603	13351	8753
604	13372	8730
605	13392	8707
606	13413	8684
607	13436	8662
608	13458	8641
609	13480	8618
610	13501	8595
611	13523	8573
612	13543	8550
613	13564	8527
614	13584	8503
615	13606	8481
616	13627	8458
617	13652	8439
618	13675	8417
619	13696	8394
620	13721	8374
621	13741	8350
622	13762	8328
623	13783	8305
624	13807	8284
625	13828	8261
626	13851	8240
627	13872	8217
628	13894	8195
629	13915	8172
630	13936	8149
631	13957	8127
632	13979	8104
633	14001	8082
634	14025	8062
635	14047	8039
636	14066	8016
637	14090	7994
638	14113	7973
639	14135	7951
640	14154	7927
641	14177	7906
642	14199	7883
643	14222	7861
644	14243	7839
645	14268	7818
646	14291	7797
647	14315	7776
648	14338	7754
649	14360	7732
650	14382	7710
651	14402	7687
652	14422	7663
